// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 9 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\data\dev\MasterMind\Benchmark\bin\Release\net8.0\84d220e4-14ce-4073-945c-9d8a0fc25044
// command took 2.75s and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\data\dev\MasterMind\Benchmark\bin\Release\net8.0\84d220e4-14ce-4073-945c-9d8a0fc25044
// command took 4.32s and exited with 0
// ***** Done, took 00:00:07 (7.44 sec)   *****
// Found 9 benchmarks:
//   MasterMindBenchmark.SolutionWithDictionaryBenchy: Job-IRLAQK(InvocationCount=1, UnrollFactor=1) [SequenceLenght=10]
//   MasterMindBenchmark.SolutionWithDynamicListBenchy: Job-IRLAQK(InvocationCount=1, UnrollFactor=1) [SequenceLenght=10]
//   MasterMindBenchmark.SolutionWithFixedListBenchy: Job-IRLAQK(InvocationCount=1, UnrollFactor=1) [SequenceLenght=10]
//   MasterMindBenchmark.SolutionWithDictionaryBenchy: Job-IRLAQK(InvocationCount=1, UnrollFactor=1) [SequenceLenght=100]
//   MasterMindBenchmark.SolutionWithDynamicListBenchy: Job-IRLAQK(InvocationCount=1, UnrollFactor=1) [SequenceLenght=100]
//   MasterMindBenchmark.SolutionWithFixedListBenchy: Job-IRLAQK(InvocationCount=1, UnrollFactor=1) [SequenceLenght=100]
//   MasterMindBenchmark.SolutionWithDictionaryBenchy: Job-IRLAQK(InvocationCount=1, UnrollFactor=1) [SequenceLenght=1000]
//   MasterMindBenchmark.SolutionWithDynamicListBenchy: Job-IRLAQK(InvocationCount=1, UnrollFactor=1) [SequenceLenght=1000]
//   MasterMindBenchmark.SolutionWithFixedListBenchy: Job-IRLAQK(InvocationCount=1, UnrollFactor=1) [SequenceLenght=1000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: MasterMindBenchmark.SolutionWithDictionaryBenchy: Job-IRLAQK(InvocationCount=1, UnrollFactor=1) [SequenceLenght=10]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 84d220e4-14ce-4073-945c-9d8a0fc25044.dll --anonymousPipes 1384 1376 --benchmarkName "MasterMindBenchmark.SolutionWithDictionaryBenchy(SequenceLenght: 10)" --job "InvocationCount=1, UnrollFactor=1" --benchmarkId 0 in C:\data\dev\MasterMind\Benchmark\bin\Release\net8.0\84d220e4-14ce-4073-945c-9d8a0fc25044\bin\Release\net8.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET 8.0.0 (8.0.23.11008), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: Job-UGMUVN(InvocationCount=1, UnrollFactor=1)

OverheadJitting  1: 1 op, 255900.00 ns, 255.9000 us/op
WorkloadActual  25: 1 op, 4100.00 ns, 4.1000 us/op
WorkloadActual  26: 1 op, 4100.00 ns, 4.1000 us/op
WorkloadActual  27: 1 op, 3200.00 ns, 3.2000 us/op
WorkloadActual  28: 1 op, 2500.00 ns, 2.5000 us/op
WorkloadActual  29: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadActual  30: 1 op, 12400.00 ns, 12.4000 us/op
WorkloadActual  31: 1 op, 5400.00 ns, 5.4000 us/op
WorkloadActual  32: 1 op, 3400.00 ns, 3.4000 us/op
WorkloadActual  33: 1 op, 3300.00 ns, 3.3000 us/op
WorkloadActual  34: 1 op, 8700.00 ns, 8.7000 us/op
WorkloadActual  35: 1 op, 4400.00 ns, 4.4000 us/op
WorkloadActual  36: 1 op, 3200.00 ns, 3.2000 us/op
WorkloadActual  37: 1 op, 3800.00 ns, 3.8000 us/op
WorkloadActual  38: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadActual  39: 1 op, 3900.00 ns, 3.9000 us/op
WorkloadActual  40: 1 op, 3400.00 ns, 3.4000 us/op
WorkloadActual  41: 1 op, 6500.00 ns, 6.5000 us/op
WorkloadActual  42: 1 op, 3500.00 ns, 3.5000 us/op
WorkloadActual  43: 1 op, 4400.00 ns, 4.4000 us/op
WorkloadActual  44: 1 op, 5800.00 ns, 5.8000 us/op
WorkloadActual  45: 1 op, 3400.00 ns, 3.4000 us/op
WorkloadActual  46: 1 op, 5100.00 ns, 5.1000 us/op
WorkloadActual  47: 1 op, 4500.00 ns, 4.5000 us/op
WorkloadActual  48: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadActual  49: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadActual  50: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadActual  51: 1 op, 3400.00 ns, 3.4000 us/op
WorkloadActual  52: 1 op, 2600.00 ns, 2.6000 us/op
WorkloadActual  53: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadActual  54: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadActual  55: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadActual  56: 1 op, 3900.00 ns, 3.9000 us/op
WorkloadActual  57: 1 op, 3800.00 ns, 3.8000 us/op
WorkloadActual  58: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadActual  59: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadActual  60: 1 op, 3300.00 ns, 3.3000 us/op
WorkloadActual  61: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadActual  62: 1 op, 3900.00 ns, 3.9000 us/op
WorkloadActual  63: 1 op, 2600.00 ns, 2.6000 us/op
WorkloadActual  64: 1 op, 3400.00 ns, 3.4000 us/op
WorkloadActual  65: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadActual  66: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadActual  67: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadActual  68: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadActual  69: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadActual  70: 1 op, 1700.00 ns, 1.7000 us/op
WorkloadActual  71: 1 op, 2500.00 ns, 2.5000 us/op
WorkloadActual  72: 1 op, 2600.00 ns, 2.6000 us/op
WorkloadActual  73: 1 op, 3900.00 ns, 3.9000 us/op
WorkloadActual  74: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadActual  75: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadActual  76: 1 op, 2700.00 ns, 2.7000 us/op
WorkloadActual  77: 1 op, 3900.00 ns, 3.9000 us/op
WorkloadActual  78: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadActual  79: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadActual  80: 1 op, 3400.00 ns, 3.4000 us/op
WorkloadActual  81: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadActual  82: 1 op, 3600.00 ns, 3.6000 us/op
WorkloadActual  83: 1 op, 2000.00 ns, 2.0000 us/op
WorkloadActual  84: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadActual  85: 1 op, 2700.00 ns, 2.7000 us/op
WorkloadActual  86: 1 op, 2700.00 ns, 2.7000 us/op
WorkloadActual  87: 1 op, 2700.00 ns, 2.7000 us/op
WorkloadActual  88: 1 op, 6800.00 ns, 6.8000 us/op
WorkloadActual  89: 1 op, 3500.00 ns, 3.5000 us/op
WorkloadActual  90: 1 op, 2500.00 ns, 2.5000 us/op
WorkloadActual  91: 1 op, 4400.00 ns, 4.4000 us/op
WorkloadActual  92: 1 op, 3800.00 ns, 3.8000 us/op
WorkloadActual  93: 1 op, 2400.00 ns, 2.4000 us/op
WorkloadActual  94: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadActual  95: 1 op, 2700.00 ns, 2.7000 us/op
WorkloadActual  96: 1 op, 2500.00 ns, 2.5000 us/op
WorkloadActual  97: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadActual  98: 1 op, 2600.00 ns, 2.6000 us/op
WorkloadActual  99: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadActual  100: 1 op, 2400.00 ns, 2.4000 us/op

// AfterActualRun
WorkloadResult   1: 1 op, 2700.00 ns, 2.7000 us/op
WorkloadResult   2: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadResult   3: 1 op, 4400.00 ns, 4.4000 us/op
WorkloadResult   4: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadResult   5: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadResult   6: 1 op, 2300.00 ns, 2.3000 us/op
WorkloadResult   7: 1 op, 5000.00 ns, 5.0000 us/op
WorkloadResult   8: 1 op, 2400.00 ns, 2.4000 us/op
WorkloadResult   9: 1 op, 3400.00 ns, 3.4000 us/op
WorkloadResult  10: 1 op, 5100.00 ns, 5.1000 us/op
WorkloadResult  11: 1 op, 2600.00 ns, 2.6000 us/op
WorkloadResult  12: 1 op, 3200.00 ns, 3.2000 us/op
WorkloadResult  13: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadResult  14: 1 op, 2600.00 ns, 2.6000 us/op
WorkloadResult  15: 1 op, 4000.00 ns, 4.0000 us/op
WorkloadResult  16: 1 op, 2500.00 ns, 2.5000 us/op
WorkloadResult  17: 1 op, 3600.00 ns, 3.6000 us/op
WorkloadResult  18: 1 op, 3600.00 ns, 3.6000 us/op
WorkloadResult  19: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadResult  20: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadResult  21: 1 op, 3800.00 ns, 3.8000 us/op
WorkloadResult  22: 1 op, 3800.00 ns, 3.8000 us/op
WorkloadResult  23: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadResult  24: 1 op, 2200.00 ns, 2.2000 us/op
WorkloadResult  25: 1 op, 2600.00 ns, 2.6000 us/op
WorkloadResult  26: 1 op, 5100.00 ns, 5.1000 us/op
WorkloadResult  27: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadResult  28: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadResult  29: 1 op, 4100.00 ns, 4.1000 us/op
WorkloadResult  30: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadResult  31: 1 op, 3500.00 ns, 3.5000 us/op
WorkloadResult  32: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadResult  33: 1 op, 3600.00 ns, 3.6000 us/op
WorkloadResult  34: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadResult  35: 1 op, 3200.00 ns, 3.2000 us/op
WorkloadResult  36: 1 op, 4100.00 ns, 4.1000 us/op
WorkloadResult  37: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadResult  38: 1 op, 4800.00 ns, 4.8000 us/op
WorkloadResult  39: 1 op, 4200.00 ns, 4.2000 us/op
WorkloadResult  40: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadResult  41: 1 op, 2600.00 ns, 2.6000 us/op
WorkloadResult  42: 1 op, 2700.00 ns, 2.7000 us/op
WorkloadResult  43: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadResult  44: 1 op, 2300.00 ns, 2.3000 us/op
WorkloadResult  45: 1 op, 2700.00 ns, 2.7000 us/op
WorkloadResult  46: 1 op, 2700.00 ns, 2.7000 us/op
WorkloadResult  47: 1 op, 2500.00 ns, 2.5000 us/op
WorkloadResult  48: 1 op, 3600.00 ns, 3.6000 us/op
WorkloadResult  49: 1 op, 3500.00 ns, 3.5000 us/op
WorkloadResult  50: 1 op, 2600.00 ns, 2.6000 us/op
WorkloadResult  51: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadResult  52: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadResult  53: 1 op, 2600.00 ns, 2.6000 us/op
WorkloadResult  54: 1 op, 3600.00 ns, 3.6000 us/op
WorkloadResult  55: 1 op, 2300.00 ns, 2.3000 us/op
WorkloadResult  56: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadResult  57: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadResult  58: 1 op, 2700.00 ns, 2.7000 us/op
WorkloadResult  59: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadResult  60: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadResult  61: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadResult  62: 1 op, 1400.00 ns, 1.4000 us/op
WorkloadResult  63: 1 op, 2200.00 ns, 2.2000 us/op
WorkloadResult  64: 1 op, 2300.00 ns, 2.3000 us/op
WorkloadResult  65: 1 op, 3600.00 ns, 3.6000 us/op
WorkloadResult  66: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadResult  67: 1 op, 2700.00 ns, 2.7000 us/op
WorkloadResult  68: 1 op, 2400.00 ns, 2.4000 us/op
WorkloadResult  69: 1 op, 3600.00 ns, 3.6000 us/op
WorkloadResult  70: 1 op, 2600.00 ns, 2.6000 us/op
WorkloadResult  71: 1 op, 2700.00 ns, 2.7000 us/op
WorkloadResult  72: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadResult  73: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadResult  74: 1 op, 3300.00 ns, 3.3000 us/op
WorkloadResult  75: 1 op, 1700.00 ns, 1.7000 us/op
WorkloadResult  76: 1 op, 2700.00 ns, 2.7000 us/op
WorkloadResult  77: 1 op, 2400.00 ns, 2.4000 us/op
WorkloadResult  78: 1 op, 2400.00 ns, 2.4000 us/op
WorkloadResult  79: 1 op, 2400.00 ns, 2.4000 us/op
WorkloadResult  80: 1 op, 3200.00 ns, 3.2000 us/op
WorkloadResult  81: 1 op, 2200.00 ns, 2.2000 us/op
WorkloadResult  82: 1 op, 4100.00 ns, 4.1000 us/op
WorkloadResult  83: 1 op, 3500.00 ns, 3.5000 us/op
WorkloadResult  84: 1 op, 2100.00 ns, 2.1000 us/op
WorkloadResult  85: 1 op, 2500.00 ns, 2.5000 us/op
WorkloadResult  86: 1 op, 2400.00 ns, 2.4000 us/op
WorkloadResult  87: 1 op, 2200.00 ns, 2.2000 us/op
WorkloadResult  88: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadResult  89: 1 op, 2300.00 ns, 2.3000 us/op
WorkloadResult  90: 1 op, 2500.00 ns, 2.5000 us/op
WorkloadResult  91: 1 op, 2100.00 ns, 2.1000 us/op
// GC:  0 0 0 472 1
// Threading:  0 0 1

// AfterAll
// Benchmark Process 9564 has exited with code 0.

Mean = 2.997 μs, StdErr = 0.075 μs (2.49%), N = 91, StdDev = 0.711 μs
Min = 1.400 μs, Q1 = 2.550 μs, Median = 2.800 μs, Q3 = 3.350 μs, Max = 5.100 μs
IQR = 0.800 μs, LowerFence = 1.350 μs, UpperFence = 4.550 μs
ConfidenceInterval = [2.743 μs; 3.250 μs] (CI 99.9%), Margin = 0.254 μs (8.46% of Mean)
Skewness = 0.96, Kurtosis = 4.04, MValue = 2.52

// ** Remained 7 (77.8%) benchmark(s) to run. Estimated finish 2023-02-28 14:28 (0h 0m from now) **
Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: MasterMindBenchmark.SolutionWithFixedListBenchy: Job-IRLAQK(InvocationCount=1, UnrollFactor=1) [SequenceLenght=10]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 84d220e4-14ce-4073-945c-9d8a0fc25044.dll --anonymousPipes 1384 1300 --benchmarkName "MasterMindBenchmark.SolutionWithFixedListBenchy(SequenceLenght: 10)" --job "InvocationCount=1, UnrollFactor=1" --benchmarkId 2 in C:\data\dev\MasterMind\Benchmark\bin\Release\net8.0\84d220e4-14ce-4073-945c-9d8a0fc25044\bin\Release\net8.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET 8.0.0 (8.0.23.11008), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: Job-JTUHTV(InvocationCount=1, UnrollFactor=1)

OverheadJitting  1: 1 op, 234800.00 ns, 234.8000 us/op
WorkloadJitting  1: 1 op, 3024000.00 ns, 3.0240 ms/op

OverheadWarmup   1: 1 op, 300.00 ns, 300.0000 ns/op
OverheadWarmup   2: 1 op, 400.00 ns, 400.0000 ns/op
OverheadWarmup   3: 1 op, 300.00 ns, 300.0000 ns/op
OverheadWarmup   4: 1 op, 300.00 ns, 300.0000 ns/op
OverheadWarmup   5: 1 op, 300.00 ns, 300.0000 ns/op

OverheadActual   1: 1 op, 400.00 ns, 400.0000 ns/op
OverheadActual   2: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual   3: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   4: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual   5: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual   6: 1 op, 500.00 ns, 500.0000 ns/op
OverheadActual   7: 1 op, 400.00 ns, 400.0000 ns/op
OverheadActual   8: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual   9: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual  10: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  11: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual  12: 1 op, 400.00 ns, 400.0000 ns/op
OverheadActual  13: 1 op, 400.00 ns, 400.0000 ns/op
OverheadActual  14: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual  15: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual  16: 1 op, 400.00 ns, 400.0000 ns/op
OverheadActual  17: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  18: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual  19: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual  20: 1 op, 400.00 ns, 400.0000 ns/op

WorkloadWarmup   1: 1 op, 33400.00 ns, 33.4000 us/op
WorkloadWarmup   2: 1 op, 5100.00 ns, 5.1000 us/op
WorkloadWarmup   3: 1 op, 4300.00 ns, 4.3000 us/op
WorkloadWarmup   4: 1 op, 3500.00 ns, 3.5000 us/op
WorkloadWarmup   5: 1 op, 3800.00 ns, 3.8000 us/op
WorkloadWarmup   6: 1 op, 3900.00 ns, 3.9000 us/op
WorkloadWarmup   7: 1 op, 3200.00 ns, 3.2000 us/op
WorkloadWarmup   8: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadWarmup   9: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadWarmup  10: 1 op, 3700.00 ns, 3.7000 us/op

// BeforeActualRun
WorkloadActual   1: 1 op, 4100.00 ns, 4.1000 us/op
WorkloadActual   2: 1 op, 2700.00 ns, 2.7000 us/op
WorkloadActual   3: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadActual   4: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadActual   5: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadActual   6: 1 op, 4500.00 ns, 4.5000 us/op
WorkloadActual   7: 1 op, 4200.00 ns, 4.2000 us/op
WorkloadActual   8: 1 op, 3900.00 ns, 3.9000 us/op
WorkloadActual   9: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadActual  10: 1 op, 3500.00 ns, 3.5000 us/op
WorkloadActual  11: 1 op, 3500.00 ns, 3.5000 us/op
WorkloadActual  12: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadActual  13: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadActual  14: 1 op, 3700.00 ns, 3.7000 us/op
WorkloadActual  15: 1 op, 3200.00 ns, 3.2000 us/op
WorkloadActual  16: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadActual  17: 1 op, 3800.00 ns, 3.8000 us/op
WorkloadActual  18: 1 op, 3200.00 ns, 3.2000 us/op
WorkloadActual  19: 1 op, 3400.00 ns, 3.4000 us/op
WorkloadActual  20: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadActual  21: 1 op, 3300.00 ns, 3.3000 us/op
WorkloadActual  22: 1 op, 3900.00 ns, 3.9000 us/op
WorkloadActual  23: 1 op, 5200.00 ns, 5.2000 us/op
WorkloadActual  24: 1 op, 3600.00 ns, 3.6000 us/op
WorkloadActual  25: 1 op, 3600.00 ns, 3.6000 us/op
WorkloadActual  26: 1 op, 3800.00 ns, 3.8000 us/op
WorkloadActual  27: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadActual  28: 1 op, 4100.00 ns, 4.1000 us/op
WorkloadActual  29: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadActual  30: 1 op, 3200.00 ns, 3.2000 us/op
WorkloadActual  31: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadActual  32: 1 op, 2700.00 ns, 2.7000 us/op
WorkloadActual  33: 1 op, 2700.00 ns, 2.7000 us/op
WorkloadActual  34: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadActual  35: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadActual  36: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadActual  37: 1 op, 6400.00 ns, 6.4000 us/op
WorkloadActual  38: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadActual  39: 1 op, 3200.00 ns, 3.2000 us/op
WorkloadActual  40: 1 op, 4600.00 ns, 4.6000 us/op
WorkloadActual  41: 1 op, 3600.00 ns, 3.6000 us/op
WorkloadActual  42: 1 op, 3200.00 ns, 3.2000 us/op
WorkloadActual  43: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadActual  44: 1 op, 3200.00 ns, 3.2000 us/op
WorkloadActual  45: 1 op, 4500.00 ns, 4.5000 us/op
WorkloadActual  46: 1 op, 3300.00 ns, 3.3000 us/op
WorkloadActual  47: 1 op, 3600.00 ns, 3.6000 us/op
WorkloadActual  48: 1 op, 3700.00 ns, 3.7000 us/op
WorkloadActual  49: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadActual  50: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadActual  51: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadActual  52: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadActual  53: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadActual  54: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadActual  55: 1 op, 3900.00 ns, 3.9000 us/op
WorkloadActual  56: 1 op, 3300.00 ns, 3.3000 us/op
WorkloadActual  57: 1 op, 3400.00 ns, 3.4000 us/op
WorkloadActual  58: 1 op, 3300.00 ns, 3.3000 us/op
WorkloadActual  59: 1 op, 3200.00 ns, 3.2000 us/op
WorkloadActual  60: 1 op, 3200.00 ns, 3.2000 us/op
WorkloadActual  61: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadActual  62: 1 op, 4200.00 ns, 4.2000 us/op
WorkloadActual  63: 1 op, 3400.00 ns, 3.4000 us/op
WorkloadActual  64: 1 op, 3800.00 ns, 3.8000 us/op
WorkloadActual  65: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadActual  66: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadActual  67: 1 op, 3300.00 ns, 3.3000 us/op
WorkloadActual  68: 1 op, 3300.00 ns, 3.3000 us/op
WorkloadActual  69: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadActual  70: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadActual  71: 1 op, 3800.00 ns, 3.8000 us/op
WorkloadActual  72: 1 op, 3700.00 ns, 3.7000 us/op
WorkloadActual  73: 1 op, 3200.00 ns, 3.2000 us/op
WorkloadActual  74: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadActual  75: 1 op, 2600.00 ns, 2.6000 us/op
WorkloadActual  76: 1 op, 2600.00 ns, 2.6000 us/op
WorkloadActual  77: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadActual  78: 1 op, 5000.00 ns, 5.0000 us/op
WorkloadActual  79: 1 op, 3200.00 ns, 3.2000 us/op
WorkloadActual  80: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadActual  81: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadActual  82: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadActual  83: 1 op, 2600.00 ns, 2.6000 us/op
WorkloadActual  84: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadActual  85: 1 op, 4500.00 ns, 4.5000 us/op
WorkloadActual  86: 1 op, 3900.00 ns, 3.9000 us/op
WorkloadActual  87: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadActual  88: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadActual  89: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadActual  90: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadActual  91: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadActual  92: 1 op, 3600.00 ns, 3.6000 us/op
WorkloadActual  93: 1 op, 4500.00 ns, 4.5000 us/op
WorkloadActual  94: 1 op, 3700.00 ns, 3.7000 us/op
WorkloadActual  95: 1 op, 3200.00 ns, 3.2000 us/op
WorkloadActual  96: 1 op, 3600.00 ns, 3.6000 us/op
WorkloadActual  97: 1 op, 3200.00 ns, 3.2000 us/op
WorkloadActual  98: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadActual  99: 1 op, 4200.00 ns, 4.2000 us/op
WorkloadActual  100: 1 op, 3200.00 ns, 3.2000 us/op

// AfterActualRun
WorkloadResult   1: 1 op, 3800.00 ns, 3.8000 us/op
WorkloadResult   2: 1 op, 2400.00 ns, 2.4000 us/op
WorkloadResult   3: 1 op, 2600.00 ns, 2.6000 us/op
WorkloadResult   4: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadResult   5: 1 op, 2700.00 ns, 2.7000 us/op
WorkloadResult   6: 1 op, 4200.00 ns, 4.2000 us/op
WorkloadResult   7: 1 op, 3900.00 ns, 3.9000 us/op
WorkloadResult   8: 1 op, 3600.00 ns, 3.6000 us/op
WorkloadResult   9: 1 op, 2700.00 ns, 2.7000 us/op
WorkloadResult  10: 1 op, 3200.00 ns, 3.2000 us/op
WorkloadResult  11: 1 op, 3200.00 ns, 3.2000 us/op
WorkloadResult  12: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadResult  13: 1 op, 2600.00 ns, 2.6000 us/op
WorkloadResult  14: 1 op, 3400.00 ns, 3.4000 us/op
WorkloadResult  15: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadResult  16: 1 op, 2500.00 ns, 2.5000 us/op
WorkloadResult  17: 1 op, 3500.00 ns, 3.5000 us/op
WorkloadResult  18: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadResult  19: 1 op, 3100.00 ns, 3.1000 us/op
WorkloadResult  20: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadResult  21: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadResult  22: 1 op, 3600.00 ns, 3.6000 us/op
WorkloadResult  23: 1 op, 3300.00 ns, 3.3000 us/op
WorkloadResult  24: 1 op, 3300.00 ns, 3.3000 us/op
WorkloadResult  25: 1 op, 3500.00 ns, 3.5000 us/op
WorkloadResult  26: 1 op, 2700.00 ns, 2.7000 us/op
WorkloadResult  27: 1 op, 3800.00 ns, 3.8000 us/op
WorkloadResult  28: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadResult  29: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadResult  30: 1 op, 2600.00 ns, 2.6000 us/op
WorkloadResult  31: 1 op, 2400.00 ns, 2.4000 us/op
WorkloadResult  32: 1 op, 2400.00 ns, 2.4000 us/op
WorkloadResult  33: 1 op, 2600.00 ns, 2.6000 us/op
WorkloadResult  34: 1 op, 2500.00 ns, 2.5000 us/op
